incident_id,downtime_start,downtime_end,duration_minutes,source,title,impact
15875011,2023-01-18T18:16:00Z,2023-01-18T20:16:00Z,120,updates,Incident with Copilot,minor
15877748,2023-01-19T01:48:00Z,2023-01-19T02:21:00Z,33,updates,Incident with Actions and Pages,minor
15883847,2023-01-19T15:57:00Z,2023-01-19T20:51:00Z,294,updates,"Incident with Actions, Git Operations and Pages",minor
15928732,2023-01-25T07:53:00Z,2023-01-25T09:10:00Z,77,updates,"Incident with Actions, API Requests, Codespaces and Copilot",minor
15929867,2023-01-25T09:14:00Z,2023-01-25T10:39:00Z,85,updates,Incident with Actions,minor
15936935,2023-01-25T23:59:00Z,2023-01-26T00:38:00Z,39,updates,Incident with API Requests and Pull Requests,minor
15957215,2023-01-28T02:40:00Z,2023-01-28T05:06:00Z,146,updates,Incident with Packages,minor
15960043,2023-01-28T10:59:00Z,2023-01-28T11:45:00Z,46,updates,Incident with Codespaces,minor
15973500,2023-01-30T12:07:00Z,2023-01-30T17:12:00Z,305,updates,Incident with Actions,minor
15978513,2023-01-30T21:48:00Z,2023-01-30T22:23:00Z,35,updates,Incident with Packages and Pages,major
15985108,2023-01-31T14:06:00Z,2023-01-31T21:23:00Z,437,updates,Incident with Codespaces,minor
15990553,2023-02-01T00:54:00Z,2023-02-01T01:11:00Z,17,updates,Incident with Webhooks,minor
16005673,2023-02-02T11:29:00Z,2023-02-02T11:55:00Z,26,updates,Investigating reports of degraded performance.,none
16008216,2023-02-02T16:15:00Z,2023-02-02T20:02:00Z,227,updates,Investigating reports of degraded performance.,none
16039321,2023-02-06T09:50:00Z,2023-02-06T10:55:00Z,65,updates,Incident with Codespaces,minor
16046306,2023-02-06T21:49:00Z,2023-02-06T22:56:00Z,67,updates,Incident with Actions,minor
16055870,2023-02-07T17:26:00Z,2023-02-07T18:17:00Z,51,updates,Incident with Actions,minor
16056438,2023-02-07T18:40:00Z,2023-02-07T19:18:00Z,38,updates,Incident with Codespaces,minor
16057746,2023-02-07T21:30:00Z,2023-02-08T17:05:00Z,1175,updates,Incident with Codespaces,minor
16051676,2023-02-07T10:08:00Z,2023-02-09T09:09:00Z,2821,updates,Planned maintenance on GitHub Package Registry,maintenance
16114824,2023-02-13T03:09:00Z,2023-02-13T03:34:00Z,25,updates,Incident with Issues and Pull Requests,minor
16139141,2023-02-14T19:00:00Z,2023-02-14T19:16:00Z,16,updates,Incident with Git Operations,minor
16141249,2023-02-15T00:04:00Z,2023-02-15T00:17:00Z,13,updates,Incident with Codespaces,minor
16170432,2023-02-17T00:35:00Z,2023-02-17T00:50:00Z,15,updates,Incident with Git Operations,minor
16184432,2023-02-18T03:45:00Z,2023-02-18T05:02:00Z,77,updates,"Incident with Actions, API Requests, code-scanning, Codespaces, Issues, orgs, Packages, Pages, Pull Requests, repositories, teams and Webhooks",major
16184971,2023-02-18T05:18:00Z,2023-02-18T05:29:00Z,11,updates,Incident with Actions,minor
16196728,2023-02-19T13:54:00Z,2023-02-19T14:38:00Z,44,updates,Incident with Actions and Pull Requests,minor
16297985,2023-02-27T20:53:00Z,2023-02-27T23:48:00Z,175,updates,Incident with Packages,minor
16306253,2023-02-28T16:05:00Z,2023-02-28T17:31:00Z,86,updates,Incident with Actions and Codespaces,major
16307208,2023-02-28T17:55:00Z,2023-02-28T18:08:00Z,13,updates,Incident with Codespaces,minor
16313724,2023-03-01T12:19:00Z,2023-03-01T15:26:00Z,187,updates,Incident with Packages and Pages,major
16326398,2023-03-02T18:26:00Z,2023-03-02T18:43:00Z,17,updates,Incident with Git Operations,minor
16328275,2023-03-02T23:37:00Z,2023-03-03T01:55:00Z,138,updates,Incident with Actions and Pages,major
16335004,2023-03-03T17:32:00Z,2023-03-03T21:14:00Z,222,updates,Investigating reports of degraded performance.,none
16351646,2023-03-06T08:39:00Z,2023-03-06T09:19:00Z,40,updates,Incident with Codespaces,minor
16354562,2023-03-06T14:43:00Z,2023-03-06T16:14:00Z,91,updates,Incident with Codespaces,minor
16379765,2023-03-07T18:20:00Z,2023-03-07T18:54:00Z,34,updates,Incident with Git Operations,minor
16402015,2023-03-09T14:34:00Z,2023-03-09T16:36:00Z,122,updates,Incident with Webhooks,minor
16511954,2023-03-15T14:07:00Z,2023-03-15T15:27:00Z,80,updates,"Incident with Actions, Packages and Pages",major
16577028,2023-03-20T15:56:00Z,2023-03-20T17:01:00Z,65,updates,"Incident with API Requests, Git Operations, Issues and Pull Requests",minor
16594489,2023-03-21T17:22:00Z,2023-03-21T17:43:00Z,21,updates,Incident with Codespaces,minor
16610486,2023-03-22T20:23:00Z,2023-03-22T22:41:00Z,138,updates,Incident with Codespaces,minor
16613916,2023-03-23T03:51:00Z,2023-03-23T04:55:00Z,64,updates,Incident with Codespaces,minor
16628502,2023-03-24T08:27:00Z,2023-03-24T08:42:00Z,15,updates,Incident with Actions,minor
16635620,2023-03-24T20:49:00Z,2023-03-24T21:10:00Z,21,updates,Incident with Pages,minor
16654849,2023-03-26T22:13:00Z,2023-03-26T22:27:00Z,14,updates,Incident with Packages,minor
16662130,2023-03-27T12:25:00Z,2023-03-27T13:29:00Z,64,updates,"Incident with Actions, API Requests, Codespaces, Git Operations, Issues, Pages and Pull Requests",major
16677649,2023-03-28T15:45:00Z,2023-03-28T17:07:00Z,82,updates,Incident with Actions,minor
16687746,2023-03-29T14:21:00Z,2023-03-29T19:03:00Z,282,updates,"Incident with Actions, Codespaces and Pages",major
16703381,2023-03-31T01:16:00Z,2023-03-31T02:08:00Z,52,updates,"Incident with Git Operations, Issues and Pull Requests",minor
16739973,2023-04-03T18:35:00Z,2023-04-03T19:00:00Z,25,updates,Incident with Actions and Pages,minor
16741255,2023-04-03T20:57:00Z,2023-04-03T22:41:00Z,104,updates,Incident with Git Operations,minor
16893018,2023-04-17T17:17:00Z,2023-04-17T17:42:00Z,25,updates,Incident with Codespaces,minor
16894154,2023-04-17T19:28:00Z,2023-04-17T19:53:00Z,25,updates,Incident with Actions and Pages,minor
16899764,2023-04-18T09:28:00Z,2023-04-18T09:51:00Z,23,updates,"Incident with Git Operations, Issues and Pull Requests",major
16902322,2023-04-18T14:35:00Z,2023-04-18T15:29:00Z,54,updates,"Incident with Actions, Issues, Pull Requests and Webhooks",minor
16913590,2023-04-19T18:28:00Z,2023-04-19T19:27:00Z,59,updates,Incident with Actions,minor
16951843,2023-04-24T12:57:00Z,2023-04-24T13:27:00Z,30,updates,Incident with Actions,minor
16956296,2023-04-24T21:14:00Z,2023-04-25T03:18:00Z,364,updates,"Incident with Actions, API Requests, Copilot and Git Operations",minor
16966884,2023-04-25T23:26:00Z,2023-04-26T00:29:00Z,63,updates,Incident with Copilot,major
16979844,2023-04-27T08:59:00Z,2023-04-27T09:56:00Z,57,updates,Incident with Packages,major
16992966,2023-04-28T12:26:00Z,2023-04-28T12:45:00Z,19,updates,Incident with Codespaces,major
17121215,2023-05-02T14:58:00Z,2023-05-02T15:49:00Z,51,updates,Incident with Actions,minor
17144928,2023-05-04T15:55:00Z,2023-05-04T16:23:00Z,28,updates,"Incident with Actions, API Requests, Codespaces, Copilot, Git Operations, Issues, Pages, Pull Requests and Webhooks",major
17190148,2023-05-09T08:07:00Z,2023-05-09T10:04:00Z,117,updates,Incident with Pull Requests,minor
17191819,2023-05-09T11:32:00Z,2023-05-09T21:14:00Z,582,updates,"Incident with Actions, API Requests, Codespaces, Git Operations, Issues, Pages, Pull Requests and Webhooks",major
17200197,2023-05-09T22:39:00Z,2023-05-10T00:06:00Z,87,updates,Incident with Git Operations,minor
17206638,2023-05-10T13:00:00Z,2023-05-11T00:34:00Z,694,updates,"Incident with Actions, API Requests, Codespaces, Git Operations, Pages and Pull Requests",minor
17218594,2023-05-11T13:33:00Z,2023-05-11T19:00:00Z,327,updates,"Incident with Actions, API Requests, Codespaces, Git Operations, Issues, Pages, Pull Requests and Webhooks",minor
17258797,2023-05-15T20:14:00Z,2023-05-15T20:28:00Z,14,updates,Incident with Copilot,minor
17270782,2023-05-16T21:14:00Z,2023-05-16T21:32:00Z,18,updates,"Incident with Actions, API Requests, Codespaces, Git Operations, Issues, Pages and Pull Requests",major
17275191,2023-05-17T07:36:00Z,2023-05-17T09:58:00Z,142,updates,Incident with Codespaces,minor
17503553,2023-06-07T16:45:00Z,2023-06-07T18:39:00Z,114,updates,"Incident with Actions, Pull Requests and Webhooks",major
17511886,2023-06-08T11:58:00Z,2023-06-08T12:55:00Z,57,updates,Incident with Pull Requests,minor
17526931,2023-06-09T22:18:00Z,2023-06-09T23:17:00Z,59,updates,Incident with Pull Requests,minor
17552632,2023-06-12T22:43:00Z,2023-06-13T00:17:00Z,94,updates,Incident with Actions and Pages,minor
17584543,2023-06-15T16:34:00Z,2023-06-15T16:57:00Z,23,updates,Incident with Pages,minor
17585950,2023-06-15T19:22:00Z,2023-06-15T19:36:00Z,14,updates,Incident with Copilot,minor
17598715,2023-06-16T23:46:00Z,2023-06-16T23:59:00Z,13,updates,Investigating reports of degraded performance.,none
17624479,2023-06-19T22:47:00Z,2023-06-19T23:09:00Z,22,updates,Incident with Actions,minor
